Unnamed: 0
"Пахота зяби под мн тр
Отделение 17 53/209

Выравнивание зяби под кук/зерно
По ПУ 17/588
Отделение 11 17/108

Выравнивание зяби под сою 
По ПУ 60/459
Отделение 16 60/394"
"Вырав зяби под подсол
По Пу 199/923
Отд 11 108/241
Отд 17 91/133
Вырав зяби под сах/ св
По Пу 78/2827
Отд 17 78/857
Вырав зяби под сою
По Пу 121/580
Отд 11 80/80
Отд 16 41/381
Вырав зяби под Кук/сил
По Пу 43/528
Отд 11 43/149"
"Выравн зяби под сах/св
По Пу 24/2851
Отд 17 24/881
Выравн зяби под подс
По Пу 71/994
Отд 11 37/278
Отд 17 34/167
Вырав под Кук/сил
По Пу 32/560
Отд 17 32/241
Вырав под Кук/зерно
По Пу 74/662
Отд 16 18/18
Отд 17 56/124
Вырав под сою
По Пу 133/713
Отд 11 113/193
Отд 16 20/401
2-е вырав под Кук/зерн
Отд 17 56/56"
"Выравн под кук/силос
ПоПу 153/822
Отд 11 122/352
Отд 17 31/300
Выравн под сою
ПоПу 73/930
Отд 11 28/327
Отд 17 45/83"
"10.03 день
2-я подкормка озимых, ПУ ""Юг"" - 1749/2559
(в т.ч Амазон-1082/1371
Пневмоход-667/1188)

Отд11- 307/307 (амазон 307/307) 

Отд 12- 671/671( амазон 318/318; пневмоход 353/353) 

Отд 16- 462/1272( амазон 148/437; пневмоход 314/835) 

Отд 17- 309/309( амазон 309/309)"
"16.11 Мир
Пахота зяби под кукурузу 30 га день, 599 га от начала, 89%, 73 га остаток.
Пахота зяби под сою 30 га день, 879 га от начала, 77%, 260 га остаток.
Работало 2 агрегата."
"17.11 Мир
Пахота зяби под кукурузу 40 га день, 639 га от начала, 95%, 33 га остаток.
Пахота зяби под сою 20 га день, 899 га от начала, 79%, 240 га остаток.
Работало 2 агрегата."
"18.11 Мир
Пахота зяби под кукурузу 25 га день, 664 га от начала, 99%, 8 га остаток.
Пахота зяби под сою 40 га день, 939 га от начала, 83%, 200 га остаток.
Работало 3 агрегата.
Выравнивание зяби под сахарную свёклу 45 га день, 952 га от начала, 100%. Работал 1 агрегат"
"11.03 ночь
2-я подкормка озимых, ПУ ""Юг"" - 2017/4576
(в т.ч Амазон-1263/2634
Пневмоход-754/1942)

Отд11- 337/644 (амазон 337/644) 

Отд 12- 767/1438( амазон 284/602; пневмоход 483/836) 

Отд 16- 493/1765( амазон 222/659; пневмоход 271/1106) 

Отд 17- 420/729( амазон 420/729)"
"11.03 день
2-я подкормка озимых, ПУ ""Юг"" - 1606/6182
(в т.ч Амазон-1048/3682
Пневмоход-558/2500)

Отд11- 486/1130 (амазон 356/1000; пневмоход 130/130) 

Отд 12- 778/2216( амазон 350/952; пневмоход 428/1264) 

Отд 16- 0/1765( амазон 0/659; пневмоход 0/1106) 

Отд 17- 342/1071( амазон 342/1071)"
"Пахота под Кук зерно
ПоПу 6/1096
Отд 12 6/549
Выравн под сою
ПоПу 45/1106
Отд 11 45/503"
"12.03 день
2-я подкормка озимых, ПУ ""Юг"" - 129/6700
(в т.ч Амазон- 129/4200
Пневмоход-0/2500)

Отд 17- 129/1589( амазон 129/1589)
Вымочки ПоПу 56 га"
"Пахота под сою
ПоПу 14/1664
Отд 11 14/897
Выравн под сою
ПоПу 164/1270
Отд 11 95/598
Отд 12 35/154
Отд 17 34/117
Предп культ под сах/св
ПоПу 119/119
Отд 12 39/39
Отд 16 80/80"
"Выравн под сою
ПоПу 118/1388
Отд 11 51/649
Отд 12 67/221
Выравн под кук зерно
ПоПу 25/906
Отд 12 25/437
Предп культ под сах св
ПоПу 265/384
Отд 11 47/47
Отд 12 65/104
Отд 16 103/183
Отд 17 50/50
Сев сах свеклы
ПоПу 107/107
Отд 12 29/29
Отд 16 78/78"
"Рассвет
Сев сах. Свеклы 886/10224/91%
Культ. Сах. Свёкла 551/10793/96%
2-подкормка оз. Пшеницы32231/100%
Герб. Обработка оз. Пшеницы 285/928/3%
Пред.Культ. Подсол.32/32
Сев подсол. 10/10"
"Выравн под сою
ПоПу 53/1441
Отд 11 23/672
Отд 12 30/251
Выравн под кук силос
ПоПу 6/871
Отд 11 6/401
Предп культ под сах св
ПоПу 22/406
Отд 11 20/67
Отд 12 2/106
Сев сах св
ПоПу 15/122
Отд 11 5/5
Отд 16 10/88"
"Выравн под куклы зерно
ПоПу 54/960
Отд 11 24/166
Отд 12 30/467
Выравн под кук силос
ПоПу 6/877
Отд 11 6/407
Предп культ под сах св
ПоПу 247/653
Отд 11 27/94
Отд 12 101/207
Отд 16 64/247
Отд 17 55/105
Сев сах св
ПоПу 100/222
Отд 11 12/17
Отд 12 16/45
Отд 16 62/150
Отд 17 10/10"
"Восход
Посев кукурузы
День-86/107га, 10%
Предпосевная культ
День-177/396га, 37%
2-я подкорм оз пш
День-739/1431га65%
СЗР по оз пш
День-136/272га12%
СЗР по оз ячм
День-71/71га22%
Довсходовое боронование подсолнечника
День-184/289га55%"
"Выравн под кук зерно
ПоПу 82/1042
Отд 12 82/549
Выравн под кук силос
ПоПу 30/907
Отд 11 30/437
Предп культ под сах св
ПоПу 531/1184
Отд 11 80/174
Отд 12 260/467
Отд 16 101/348
Отд 17 90/195
Сев сах св
ПоПу 357/579
Отд 11 80/97
Отд 12 85/130
Отд 16 81/231
Отд 17 111/121"
"Выравн под кук силос
ПоПу 25/932
Отд 11 25/462
Предп культ под сах св
ПоПу 452/1636
Отд 11 78/252
Отд 12 143/610
Отд 16 121/469 5га вымочки
Отд 17 110/305
Сев сах св
ПоПу 403/982
Отд 11 73/170
Отд 12 139/269
Отд 16 65/296
Отд 17 126/247"
"Предп культ под сах св
ПоПу 211/1847
Отд 11 81/333
Отд 17 130/435
Сев сах св
ПоПу 268/1250
Отд 11 100/270
Отд 12 36/305
Отд 17 132/379"
"Вырав под Кук зерно
ПоПу 51/1093
Отд 11 51/217
Предп культ под сах св
ПоПу 288/2135
Отд 11 78/411
Отд 12 87/697
Отд 17 123/558
Сев сах св
ПоПу 398/1648
Отд 11 89/359
Отд 12 98/403
Отд 16 84/380
Отд 17 127/506
Внесен КАС под оз пш
Отд 16 63/63"
"Вырав под сою
ПоПу 16/1457
Отд 11 16/688
Предп культ под сах св
ПоПу 152/2287
Отд 11 72/483
Отд 12 50/747
Отд 17 30/588
Сев сах св
ПоПу 284/1932
Отд 11 42/401
Отд 12 123/526
Отд 16 89/469 5га вымочки
Отд 17 30/536"
"Подкормка Кас-32 по оз.пшенице ПУ""Юг""- 99/162
Отд 16-99/162"
"30.03.25г Мир.
Предпосевная культивация под подсолнечник 50/97/609 - 14%
Сев подсолнечника 17/47/659 - 6%
2-я подкормка озимой пшеницы 371/5118/166 - 97%
На данный момент осадки в 2х районах до 3мм"
"АО Кропоткинское
30.03.2024
2 подкормка озимой пшеницы 504/7758
Сев сах.свеклы 241/1806 87% (7ед)
Осталось 335га
Выравнивание зяби под кукурузу 70/2874
Предпосевная культивация под подсолнечник 70/70"
"27.07
Внесение мин удобрений под сах свёклу 2025 г ПУ Юг- 454/1715
Отд 11-102/209
Отд 12-175/593
Отд 17-177/260"
"Пахота под сах св
По Пу 50/379
Отд 12 36/240
Отд 16 14/79

Чизел под оз ячмень
По Пу 60/588
Отд 11 60/190

2-е диск под сах св
По Пу 130/1393
Отд 17 130/130

Диск кук силос
По Пу 207/857
Отд 11 66/199
Отд 12 141/289 

Диск оз пшеницы 
По Пу 57/8743
